地区,新增确诊,现有确诊,累计确诊,累计死亡,数据来源日期
台湾,34807,3817246,3837856,6868,2022/07/03
香港,285,265143,338679,9405,2022/07/03
澳门,23,265,348,0,2022/07/03
天津,0,168,2011,3,2022/07/03
安徽,29,134,1199,6,2022/07/04
吉林,0,121,40293,5,2022/07/03
广东,1,89,7473,8,2022/07/04
上海,2,64,63273,595,2022/07/04
福建,0,56,3451,1,2022/07/03
内蒙古,0,24,2100,1,2022/07/03
山东,0,23,2766,7,2022/07/04
江苏,3,21,2260,0,2022/07/03
北京,0,19,3685,9,2022/07/04
重庆,0,17,740,6,2022/07/03
四川,0,16,2378,3,2022/07/03
陕西,3,16,3338,3,2022/07/03
云南,0,14,2174,2,2022/07/04
浙江,0,11,3159,1,2022/07/03
江西,0,7,1392,1,2022/07/04
湖北,0,3,68402,4512,2022/07/03
辽宁,0,2,1719,2,2022/07/04
湖南,0,2,1401,4,2022/07/03
河北,0,1,2007,7,2022/07/03
河南,0,1,3184,22,2022/07/04
甘肃,0,1,682,2,2022/07/03
黑龙江,0,0,2988,13,2022/07/04
新疆,0,0,1008,3,2022/07/03
宁夏,0,0,122,0,2022/07/03
西藏,0,0,1,0,2022/07/03
海南,0,0,288,6,2022/07/03
广西,0,0,1649,2,2022/07/03
山西,0,0,423,0,2022/07/03
贵州,0,0,185,2,2022/07/03
青海,0,0,147,0,2022/07/03
