地区,新增确诊,现有确诊,累计确诊,累计死亡,数据来源日期
台湾,50567,2874350,2892263,4171,2022/06/13
香港,141,261277,333528,9390,2022/06/13
内蒙古,27,272,2025,1,2022/06/13
上海,11,197,63109,595,2022/06/13
北京,29,181,3549,9,2022/06/13
天津,0,139,1981,3,2022/06/13
吉林,0,124,40293,5,2022/06/13
福建,0,52,3330,1,2022/06/13
四川,0,33,2357,3,2022/06/13
广东,0,33,7335,8,2022/06/13
辽宁,0,29,1704,2,2022/06/13
云南,0,12,2157,2,2022/06/13
浙江,0,12,3142,1,2022/06/13
广西,0,9,1649,2,2022/06/13
陕西,0,6,3289,3,2022/06/13
重庆,2,6,717,6,2022/06/13
山东,0,3,2738,7,2022/06/12
黑龙江,0,2,2986,13,2022/06/13
山西,0,2,423,0,2022/06/12
河南,0,2,3183,22,2022/06/13
湖南,0,1,1394,4,2022/06/12
甘肃,0,0,681,2,2022/06/12
江苏,0,0,2235,0,2022/06/12
贵州,0,0,185,2,2022/06/12
西藏,0,0,1,0,2022/06/12
青海,0,0,147,0,2022/06/12
澳门,0,0,83,0,2022/06/12
江西,0,0,1383,1,2022/06/13
宁夏,0,0,122,0,2022/06/12
湖北,0,0,68399,4512,2022/06/13
河北,0,0,2005,7,2022/06/13
新疆,0,0,1008,3,2022/06/12
安徽,0,0,1065,6,2022/06/12
海南,0,0,288,6,2022/06/12
