地区,新增确诊,现有确诊,累计确诊,累计死亡,数据来源日期
台湾,35984,3908757,3929627,7128,2022/07/06
香港,350,265753,339514,9405,2022/07/06
澳门,61,376,461,2,2022/07/06
安徽,81,267,1332,6,2022/07/06
天津,0,147,2017,3,2022/07/06
吉林,0,121,40293,5,2022/07/06
广东,0,93,7494,8,2022/07/06
上海,9,77,63295,595,2022/07/06
福建,8,65,3476,1,2022/07/06
江苏,4,29,2271,0,2022/07/06
山东,1,29,2775,7,2022/07/06
北京,5,26,3696,9,2022/07/06
重庆,0,21,745,6,2022/07/06
内蒙古,2,17,2106,1,2022/07/06
陕西,1,17,3347,3,2022/07/06
四川,1,16,2381,3,2022/07/06
云南,0,16,2178,2,2022/07/06
浙江,2,15,3165,1,2022/07/06
江西,0,8,1393,1,2022/07/06
海南,0,5,293,6,2022/07/06
湖北,0,3,68403,4512,2022/07/06
山西,0,1,424,0,2022/07/06
甘肃,0,1,682,2,2022/07/06
辽宁,0,1,1719,2,2022/07/06
河南,0,1,3184,22,2022/07/06
广西,0,0,1649,2,2022/07/06
湖南,0,0,1401,4,2022/07/06
黑龙江,0,0,2988,13,2022/07/06
西藏,0,0,1,0,2022/07/06
贵州,0,0,185,2,2022/07/06
新疆,0,0,1008,3,2022/07/06
河北,0,0,2007,7,2022/07/06
青海,0,0,147,0,2022/07/06
宁夏,0,0,122,0,2022/07/06
