地区,新增确诊,现有确诊,累计确诊,累计死亡,数据来源日期
台湾,28122,4032894,4054189,7553,2022/07/10
香港,504,267176,341405,9410,2022/07/10
澳门,24,486,590,2,2022/07/10
安徽,11,337,1424,6,2022/07/10
天津,0,145,2024,3,2022/07/10
上海,5,145,63387,595,2022/07/10
广东,11,142,7566,8,2022/07/10
吉林,0,121,40293,5,2022/07/09
福建,1,95,3519,1,2022/07/10
江苏,3,40,2290,0,2022/07/10
山东,9,35,2790,7,2022/07/10
北京,0,25,3708,9,2022/07/10
陕西,2,23,3357,3,2022/07/10
重庆,0,21,749,6,2022/07/10
浙江,1,18,3168,1,2022/07/09
云南,0,16,2180,2,2022/07/10
四川,0,16,2384,3,2022/07/10
江西,2,7,1397,1,2022/07/10
甘肃,4,5,686,2,2022/07/09
海南,0,4,292,6,2022/07/09
山西,0,4,427,0,2022/07/09
湖北,0,3,68403,4512,2022/07/09
辽宁,0,2,1720,2,2022/07/10
河南,0,2,3185,22,2022/07/10
黑龙江,0,1,2989,13,2022/07/09
湖南,0,1,1402,4,2022/07/09
新疆,0,0,1008,3,2022/07/09
西藏,0,0,1,0,2022/07/09
贵州,0,0,185,2,2022/07/09
河北,0,0,2007,7,2022/07/09
广西,0,0,1649,2,2022/07/10
青海,0,0,147,0,2022/07/09
宁夏,0,0,122,0,2022/07/09
内蒙古,9,-64,2133,1,2022/07/10
