地区,新增确诊,现有确诊,累计确诊,累计死亡,数据来源日期
台湾,80070,2603826,2620941,3373,2022/06/09
香港,84,260934,332967,9389,2022/06/09
上海,4,349,63066,595,2022/06/09
北京,1,157,3438,9,2022/06/09
天津,0,136,1978,3,2022/06/09
内蒙古,37,133,1886,1,2022/06/09
吉林,0,128,40293,5,2022/06/09
福建,0,69,3315,1,2022/06/09
四川,0,60,2354,3,2022/06/09
广东,0,29,7324,8,2022/06/09
辽宁,11,26,1699,2,2022/06/09
云南,0,16,2157,2,2022/06/09
浙江,0,11,3139,1,2022/06/09
广西,0,10,1646,2,2022/06/09
河南,0,6,3183,22,2022/06/09
重庆,0,4,715,6,2022/06/09
山东,0,4,2738,7,2022/06/09
江苏,0,3,2235,0,2022/06/09
湖北,0,1,68399,4512,2022/06/09
澳门,0,1,83,0,2022/06/09
黑龙江,0,1,2985,13,2022/06/09
河北,0,1,2005,7,2022/06/09
山西,0,1,422,0,2022/06/09
陕西,0,0,3283,3,2022/06/09
安徽,0,0,1065,6,2022/06/09
贵州,0,0,185,2,2022/06/09
新疆,0,0,1008,3,2022/06/09
甘肃,0,0,681,2,2022/06/09
海南,0,0,288,6,2022/06/09
青海,0,0,147,0,2022/06/09
西藏,0,0,1,0,2022/06/09
江西,0,0,1383,1,2022/06/09
湖南,0,0,1393,4,2022/06/09
宁夏,0,0,122,0,2022/06/09
