地区,新增确诊,现有确诊,累计确诊,累计死亡,数据来源日期
台湾,72846,2676461,2693787,3584,2022/06/10
香港,150,261036,333117,9390,2022/06/10
上海,6,253,63074,595,2022/06/10
内蒙古,15,148,1901,1,2022/06/10
北京,7,146,3446,9,2022/06/10
天津,0,136,1978,3,2022/06/09
吉林,0,128,40293,5,2022/06/09
福建,0,66,3317,1,2022/06/10
四川,0,47,2355,3,2022/06/10
广东,0,31,7327,8,2022/06/10
辽宁,2,28,1701,2,2022/06/10
云南,0,14,2157,2,2022/06/10
广西,3,13,1649,2,2022/06/10
浙江,0,9,3139,1,2022/06/10
河南,0,6,3183,22,2022/06/10
山东,0,4,2738,7,2022/06/10
重庆,0,4,715,6,2022/06/09
江苏,0,3,2235,0,2022/06/09
山西,0,2,423,0,2022/06/10
湖北,0,1,68399,4512,2022/06/09
陕西,0,1,3284,3,2022/06/10
黑龙江,0,1,2985,13,2022/06/09
澳门,0,1,83,0,2022/06/09
青海,0,0,147,0,2022/06/09
贵州,0,0,185,2,2022/06/09
河北,0,0,2005,7,2022/06/10
甘肃,0,0,681,2,2022/06/09
西藏,0,0,1,0,2022/06/09
新疆,0,0,1008,3,2022/06/09
宁夏,0,0,122,0,2022/06/09
江西,0,0,1383,1,2022/06/10
湖南,0,0,1393,4,2022/06/09
安徽,0,0,1065,6,2022/06/09
海南,0,0,288,6,2022/06/09
