地区,新增确诊,现有确诊,累计确诊,累计死亡,数据来源日期
台湾,68293,2744541,2762080,3797,2022/06/11
香港,130,261106,333247,9390,2022/06/11
上海,7,233,63085,595,2022/06/11
内蒙古,19,167,1920,1,2022/06/11
北京,36,159,3486,9,2022/06/11
天津,0,136,1978,3,2022/06/11
吉林,0,127,40293,5,2022/06/11
福建,0,61,3321,1,2022/06/11
四川,0,38,2356,3,2022/06/11
广东,0,32,7329,8,2022/06/11
辽宁,3,30,1704,2,2022/06/11
云南,0,14,2157,2,2022/06/11
广西,0,11,1649,2,2022/06/11
浙江,0,9,3139,1,2022/06/11
河南,0,5,3183,22,2022/06/11
重庆,0,4,715,6,2022/06/11
山东,0,4,2738,7,2022/06/11
山西,0,2,423,0,2022/06/11
陕西,0,1,3284,3,2022/06/11
湖北,0,1,68399,4512,2022/06/11
黑龙江,0,1,2985,13,2022/06/11
西藏,0,0,1,0,2022/06/11
甘肃,0,0,681,2,2022/06/11
宁夏,0,0,122,0,2022/06/11
安徽,0,0,1065,6,2022/06/11
江苏,0,0,2235,0,2022/06/11
澳门,0,0,83,0,2022/06/11
河北,0,0,2005,7,2022/06/11
青海,0,0,147,0,2022/06/11
新疆,0,0,1008,3,2022/06/11
江西,0,0,1383,1,2022/06/11
湖南,0,0,1393,4,2022/06/11
贵州,0,0,185,2,2022/06/11
海南,0,0,288,6,2022/06/11
