地区,新增确诊,现有确诊,累计确诊,累计死亡,数据来源日期
台湾,68931,3054144,3072432,4546,2022/06/16
香港,185,261621,334015,9392,2022/06/16
内蒙古,13,312,2067,1,2022/06/16
北京,14,229,3631,9,2022/06/16
上海,9,165,63145,595,2022/06/16
天津,0,143,1985,3,2022/06/16
吉林,0,123,40293,5,2022/06/16
福建,0,58,3349,1,2022/06/16
广东,0,42,7354,8,2022/06/16
四川,0,27,2360,3,2022/06/16
辽宁,3,26,1709,2,2022/06/16
陕西,0,18,3302,3,2022/06/16
浙江,0,13,3146,1,2022/06/16
云南,0,8,2157,2,2022/06/16
重庆,1,7,720,6,2022/06/16
广西,0,5,1649,2,2022/06/16
湖南,0,4,1397,4,2022/06/16
山东,0,3,2738,7,2022/06/16
山西,0,2,423,0,2022/06/16
黑龙江,0,2,2986,13,2022/06/16
河北,2,2,2007,7,2022/06/16
江苏,0,1,2236,0,2022/06/16
河南,0,1,3183,22,2022/06/16
甘肃,0,0,681,2,2022/06/16
海南,0,0,288,6,2022/06/16
西藏,0,0,1,0,2022/06/16
安徽,0,0,1065,6,2022/06/16
湖北,0,0,68399,4512,2022/06/16
贵州,0,0,185,2,2022/06/16
宁夏,0,0,122,0,2022/06/16
江西,0,0,1383,1,2022/06/16
新疆,0,0,1008,3,2022/06/16
澳门,0,0,83,0,2022/06/16
青海,0,0,147,0,2022/06/16
