地区,新增确诊,现有确诊,累计确诊,累计死亡,数据来源日期
台湾,62077,2388190,2404871,2939,2022/06/06
香港,56,260825,332721,9386,2022/06/06
北京,5,248,3432,9,2022/06/06
天津,0,137,1977,3,2022/06/06
吉林,0,131,40293,5,2022/06/06
上海,4,124,63044,595,2022/06/06
四川,0,103,2348,3,2022/06/06
福建,0,60,3295,1,2022/06/06
内蒙古,16,41,1794,1,2022/06/06
广东,0,30,7316,8,2022/06/06
河南,0,27,3183,22,2022/06/06
浙江,0,20,3139,1,2022/06/06
云南,0,17,2153,2,2022/06/06
广西,0,14,1641,2,2022/06/06
江苏,0,6,2235,0,2022/06/06
重庆,0,3,713,6,2022/06/06
辽宁,0,2,1675,2,2022/06/06
山东,0,2,2736,7,2022/06/06
河北,0,1,2005,7,2022/06/06
湖北,0,1,68399,4512,2022/06/06
澳门,0,1,83,0,2022/06/05
山西,0,1,421,0,2022/06/05
黑龙江,0,1,2984,13,2022/06/05
江西,0,0,1383,1,2022/06/05
宁夏,0,0,122,0,2022/06/05
陕西,0,0,3283,3,2022/06/06
安徽,0,0,1065,6,2022/06/05
贵州,0,0,185,2,2022/06/05
西藏,0,0,1,0,2022/06/05
甘肃,0,0,681,2,2022/06/05
青海,0,0,147,0,2022/06/05
海南,0,0,288,6,2022/06/05
新疆,0,0,1008,3,2022/06/06
湖南,0,0,1393,4,2022/06/05
