地区,新增确诊,现有确诊,累计确诊,累计死亡,数据来源日期
台湾,34561,3943223,3964188,7223,2022/07/07
香港,484,266121,339998,9406,2022/07/07
澳门,51,427,512,2,2022/07/07
安徽,39,297,1371,6,2022/07/07
天津,1,143,2018,3,2022/07/07
吉林,0,121,40293,5,2022/07/06
上海,32,113,63338,595,2022/07/07
广东,2,98,7501,8,2022/07/07
福建,2,72,3485,1,2022/07/07
江苏,4,35,2277,0,2022/07/07
山东,2,31,2777,7,2022/07/07
北京,4,27,3702,9,2022/07/07
陕西,3,20,3350,3,2022/07/07
重庆,0,19,745,6,2022/07/07
内蒙古,4,18,2108,1,2022/07/07
云南,0,16,2178,2,2022/07/06
浙江,2,15,3165,1,2022/07/06
四川,0,15,2381,3,2022/07/07
海南,0,4,292,6,2022/07/06
江西,0,3,1393,1,2022/07/07
湖北,0,3,68403,4512,2022/07/06
山西,1,3,426,0,2022/07/07
河南,0,2,3185,22,2022/07/07
辽宁,0,1,1719,2,2022/07/07
黑龙江,0,1,2989,13,2022/07/07
甘肃,0,1,682,2,2022/07/06
宁夏,0,0,122,0,2022/07/06
贵州,0,0,185,2,2022/07/06
河北,0,0,2007,7,2022/07/06
新疆,0,0,1008,3,2022/07/06
西藏,0,0,1,0,2022/07/06
湖南,0,0,1401,4,2022/07/06
广西,0,0,1649,2,2022/07/06
青海,0,0,147,0,2022/07/06
