地区,新增确诊,现有确诊,累计确诊,累计死亡,数据来源日期
台湾,63133,3117109,3135565,4714,2022/06/17
香港,200,261767,334215,9392,2022/06/17
内蒙古,6,314,2073,1,2022/06/17
北京,11,232,3644,9,2022/06/17
上海,2,149,63150,595,2022/06/17
天津,0,142,1985,3,2022/06/17
吉林,0,122,40293,5,2022/06/17
福建,0,60,3359,1,2022/06/17
广东,0,44,7361,8,2022/06/17
辽宁,4,28,1713,2,2022/06/17
四川,0,24,2362,3,2022/06/17
陕西,0,21,3305,3,2022/06/17
浙江,0,14,3147,1,2022/06/17
重庆,0,8,721,6,2022/06/17
云南,0,7,2157,2,2022/06/17
广西,0,5,1649,2,2022/06/17
湖南,0,5,1398,4,2022/06/17
山东,0,3,2738,7,2022/06/17
河北,0,2,2007,7,2022/06/17
山西,0,2,423,0,2022/06/17
黑龙江,0,2,2986,13,2022/06/17
河南,0,1,3183,22,2022/06/17
江苏,0,1,2236,0,2022/06/17
湖北,0,1,68400,4512,2022/06/17
宁夏,0,0,122,0,2022/06/17
贵州,0,0,185,2,2022/06/17
海南,0,0,288,6,2022/06/17
江西,0,0,1383,1,2022/06/17
澳门,0,0,83,0,2022/06/17
青海,0,0,147,0,2022/06/17
甘肃,0,0,681,2,2022/06/17
新疆,0,0,1008,3,2022/06/17
安徽,0,0,1065,6,2022/06/17
西藏,0,0,1,0,2022/06/17
